Title,Release,Genre,Rating,Runtime,Revenue,Decade
Das Cabinet des Dr. Caligari,1920,Fantasy,8.1,76,,1920
Badhaai ho,2018,Comedy,8.0,124,,2010
Togo,2019,Adventure,8.0,113,,2010
Airlift,2016,Drama,8.0,130,,2010
Bajrangi Bhaijaan,2015,Action,8.0,163,8.178001,2010
Baby,2015,Action,8.0,159,,2010
La La Land,2016,Comedy,8.0,128,151.101803,2010
Lion,2016,Biography,8.0,118,51.739495,2010
The Martian,2015,Adventure,8.0,144,228.433663,2010
Zootopia,2016,Animation,8.0,108,341.268248,2010
Bãhubali: The Beginning,2015,Action,8.0,159,6.738,2010
Kaguyahime no monogatari,2013,Animation,8.0,137,1.506975,2010
Wonder,2017,Drama,8.0,113,132.422809,2010
Gully Boy,2019,Drama,8.0,154,5.566534,2010
Special Chabbis,2013,Crime,8.0,144,1.079369,2010
Short Term 12,2013,Drama,8.0,96,1.010414,2010
Serbuan maut 2: Berandal,2014,Action,8.0,150,2.625803,2010
The Imitation Game,2014,Biography,8.0,114,91.125683,2010
Guardians of the Galaxy,2014,Action,8.0,121,333.1766,2010
Blade Runner 2049,2017,Action,8.0,164,92.054159,2010
Her,2013,Drama,8.0,126,25.568251,2010
Bohemian Rhapsody,2018,Biography,8.0,134,216.428042,2010
The Revenant,2015,Action,8.0,156,183.637894,2010
The Perks of Being a Wallflower,2012,Drama,8.0,103,17.73857,2010
Tropa de Elite 2: O Inimigo Agora é Outro,2010,Action,8.0,115,0.100119,2010
The King's Speech,2010,Biography,8.0,118,138.797449,2010
The Help,2011,Drama,8.0,146,169.708112,2010
Deadpool,2016,Action,8.0,108,363.070709,2010
Darbareye Elly,2009,Drama,8.0,119,0.106662,2000
Dev.D,2009,Drama,8.0,144,0.01095,2000
Yip Man,2008,Action,8.0,106,,2000
My Name Is Khan,2010,Drama,8.0,165,4.018695,2010
Nefes: Vatan Sagolsun,2009,Action,8.0,128,,2000
Slumdog Millionaire,2008,Drama,8.0,120,141.319928,2000
Black Swan,2010,Drama,8.0,108,106.954678,2010
Tropa de Elite,2007,Action,8.0,115,0.00806,2000
The Avengers,2012,Action,8.0,143,623.279547,2010
Persepolis,2007,Animation,8.0,96,4.445756,2000
Dallas Buyers Club,2013,Biography,8.0,117,27.298285,2010
The Pursuit of Happyness,2006,Biography,8.0,117,163.566459,2000
Blood Diamond,2006,Adventure,8.0,143,57.366262,2000
The Bourne Ultimatum,2007,Action,8.0,115,227.47107,2000
Bin-jip,2004,Crime,8.0,88,0.238507,2000
Sin City,2005,Crime,8.0,124,74.10382,2000
Le scaphandre et le papillon,2007,Biography,8.0,112,5.990075,2000
G.O.R.A.,2004,Adventure,8.0,127,,2000
Ratatouille,2007,Animation,8.0,111,206.445654,2000
Casino Royale,2006,Action,8.0,144,167.44596,2000
Kill Bill: Vol. 2,2004,Action,8.0,137,66.208183,2000
Vozvrashchenie,2003,Drama,8.0,110,0.502028,2000
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,Drama,8.0,103,2.380788,2000
Mar adentro,2014,Biography,8.0,126,2.086345,2010
Cinderella Man,2005,Biography,8.0,144,61.649911,2000
